OTU,Domain,Phylum,Class,Order,Family,Genus
DENOVO13723,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured
DENOVO13724,Bacteria,Planctomycetes,vadinHA49,uncultured organism,uncultured organism,uncultured organism
DENOVO13725,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured
DENOVO13726,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer
DENOVO13727,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter
DENOVO13728,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,
DENOVO13729,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,uncultured
DENOVO13730,Bacteria,Planctomycetes,OM190,uncultured bacterium,uncultured bacterium,uncultured bacterium
DENOVO13731,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,uncultured bacterium,uncultured bacterium
DENOVO13732,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,uncultured bacterium,uncultured bacterium
DENOVO13733,Bacteria,Planctomycetes,OM190,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
DENOVO13734,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera
DENOVO13735,Bacteria,Planctomycetes,OM190,uncultured bacterium,uncultured bacterium,uncultured bacterium
DENOVO13736,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353 marine group,,
DENOVO13737,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Jejudonia
DENOVO13738,Unclassified,,,,,
DENOVO13739,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula
DENOVO13740,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Bauldia
DENOVO13741,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus
